,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,Line_Max_Flow_Possible_MW,WACC
Boston,z1,1,1,8,2629,Boston_to_MassCentral,35,0.0094,2629,12060,0.95,0,0,7000,0.062
ConnCentral,z2,2,1,9,997,Boston_to_MassSE,40,0.001536098,997,12060,0.95,0,0,5000,0.062
ConnNorwalk,z3,3,1,11,816,Boston_to_NewHampshire,50,0.013636364,816,12060,0.95,0,0,7000,0.062
ConnSW,z4,4,1,12,1953,Boston_to_RhodeIsland,50,0.018213737,1953,12060,0.95,0,0,5000,0.062
MaineBHE,z5,5,2,4,3650,ConnCentral_to_ConnSW,25,0.005,3650,12060,0.95,0,0,7000,0.062
MaineCentral,z6,6,2,10,1400,ConnCentral_to_MassWest,60,0.01,1400,12060,0.95,0,0,5000,0.062
MaineSouth,z7,7,2,12,393,ConnCentral_to_RhodeIsland,55,0.02,393,12060,0.95,0,0,7000,0.062
MassCentral,z8,8,3,4,1537,ConnNorwalk_to_ConnSW,15,0.005,1537,12060,0.95,0,0,5000,0.062
MassSE,z9,9,4,2,1100,ConnSW_to_ConnCentral,25,0.005,1100,12060,0.95,0,0,7000,0.062
MassWest,z10,10,4,3,1650,ConnSW_to_ConnNorwalk,15,0.005,1650,12060,0.95,0,0,5000,0.062
NewHampshire,z11,11,5,6,1975,MaineBHE_to_MaineCentral,80,0.01,1975,12060,0.95,0,0,7000,0.062
RhodeIsland,z12,12,6,5,1975,MaineCentral_to_MaineBHE,80,0.01,1975,12060,0.95,0,0,5000,0.062
Vermont,z13,13,6,7,1925,MaineCentral_to_MaineSouth,70,0.01,1925,12060,0.95,0,0,7000,0.062
,,14,7,6,1925,MaineSouth_to_MaineCentral,70,0.01,1925,12060,0.95,0,0,5000,0.062
,,15,7,11,1900,MaineSouth_to_NewHampshire,75,0.03008658,1900,12060,0.95,0,0,7000,0.062
,,16,8,1,2859,MassCentral_to_Boston,35,0.0094,2859,12060,0.95,0,0,5000,0.062
,,17,8,10,1286,MassCentral_to_MassWest,50,0.01,1286,12060,0.95,0,0,7000,0.062
,,18,8,11,900,MassCentral_to_NewHampshire,45,0.0058102,900,12060,0.95,0,0,5000,0.062
,,19,8,12,1893,MassCentral_to_RhodeIsland,40,0.0272,1893,12060,0.95,0,0,7000,0.062
,,20,9,1,997,MassSE_to_Boston,40,0.001536098,997,12060,0.95,0,0,5000,0.062
,,21,9,12,9999,MassSE_to_RhodeIsland,30,0.016703297,9999,12060,0.95,0,0,7000,0.062
,,22,10,2,1400,MassWest_to_ConnCentral,60,0.01,1400,12060,0.95,0,0,5000,0.062
,,23,10,8,1407,MassWest_to_MassCentral,50,0.01,1407,12060,0.95,0,0,7000,0.062
,,24,10,13,900,MassWest_to_Vermont,40,0.027620841,900,12060,0.95,0,0,5000,0.062
,,25,11,1,1391,NewHampshire_to_Boston,50,0.013636364,1391,12060,0.95,0,0,7000,0.062
,,26,11,7,650,NewHampshire_to_MaineSouth,75,0.03008658,650,12060,0.95,0,0,5000,0.062
,,27,11,8,467,NewHampshire_to_MassCentral,45,0.0058102,467,12060,0.95,0,0,7000,0.062
,,28,11,13,800,NewHampshire_to_Vermont,60,0.033270559,800,12060,0.95,0,0,5000,0.062
,,29,12,1,453,RhodeIsland_to_Boston,50,0.018213737,453,12060,0.95,0,0,7000,0.062
,,30,12,2,664,RhodeIsland_to_ConnCentral,55,0.02,664,12060,0.95,0,0,5000,0.062
,,31,12,8,750,RhodeIsland_to_MassCentral,40,0.0272,750,12060,0.95,0,0,7000,0.062
,,32,12,9,9999,RhodeIsland_to_MassSE,30,0.016703297,9999,12060,0.95,0,0,5000,0.062
,,33,13,10,467,Vermont_to_MassWest,40,0.027620841,467,12060,0.95,0,0,7000,0.062
,,34,13,11,400,Vermont_to_NewHampshire,60,0.033270559,400,12060,0.95,0,0,5000,0.062
