Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13
50000,1,1,1,2000,1,8760,8760,1,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,2,0.9,0.04,1800,,,,2,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,3,0.55,0.024,1100,,,,3,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,4,0.2,0.003,400,,,,4,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,5,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,6,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,7,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,8,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,9,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,10,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,11,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,12,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,13,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,14,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,15,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,16,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,17,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,18,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,19,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,20,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,21,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,22,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,23,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,24,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,25,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,26,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,27,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,28,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,29,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,30,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
,,,,,,,,31,1052.182914,1073.149369,1072.610739,1073.312182,1039.044373,1036.68266,1035.178937,1088.109212,1038.009339,1087.602951,1069.71671,1029.356964,1137.713473
