Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
SVU000111,0.05,20,20,0,0,0
SVU000116,0.05,20,20,0,0,0
SVU000121,0.05,20,20,0,0,0
SVU000281,0.05,20,20,0,0,0
SVU000286,0.05,20,20,0,0,0
SVU000291,0.05,20,20,0,0,0
SVU000751,0.05,20,20,0,0,0
SVU000861,0.05,20,20,0,0,0
SVU000296,0.05,20,20,0,0,0
SVU000301,0.05,20,20,0,0,0
SVU000336,0.05,20,20,0,0,0
SVU000341,0.05,20,20,0,0,0
SVU000351,0.05,20,20,0,0,0
SVU000481,0.05,20,20,0,0,0
GNRC-CT-61-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Battery Storage-1,0.05,20,20,0,0,0
AID_DM_4153,0.05,20,20,0,0,0
AID_DM_4224,0.05,20,20,0,0,0
AID_DM_4281,0.05,20,20,0,0,0
AID_DM_4295,0.05,20,20,0,0,0
AID_DM_4355,0.05,20,20,0,0,0
AID_DM_4358,0.05,20,20,0,0,0
AID_DM_4548,0.05,20,20,0,0,0
AID_DM_4383,0.05,20,20,0,0,0
AID_DM_4473,0.05,20,20,0,0,0
AID_DM_4518,0.05,20,20,0,0,0
AID_DM_4521,0.05,20,20,0,0,0
AID_DM_4530,0.05,20,20,0,0,0
AID_DM_4532,0.05,20,20,0,0,0
AID101237,0.05,20,20,0,0,0
AID101231,0.05,20,20,0,0,0
AID12448,0.05,20,20,0,0,0
AID15604,0.05,20,20,0,0,0
AID15844,0.05,20,20,0,0,0
AID2306,0.05,20,20,0,0,0
AID2307,0.05,20,20,0,0,0
AID2308,0.05,20,20,0,0,0
AID2305,0.05,20,20,0,0,0
AID18,0.05,20,20,0,0,0
AID2207,0.05,20,20,0,0,0
AID2498,0.05,20,20,0,0,0
AID2428,0.05,20,20,0,0,0
AID2626,0.05,20,20,0,0,0
AID2654,0.05,20,20,0,0,0
AID2507,0.05,20,20,0,0,0
AID3190,0.05,20,20,0,0,0
AID3486,0.05,20,20,0,0,0
AID2879,0.05,20,20,0,0,0
AID4276,0.05,20,20,0,0,0
AID4436,0.05,20,20,0,0,0
AID4437,0.05,20,20,0,0,0
AID4438,0.05,20,20,0,0,0
AID4724,0.05,20,20,0,0,0
AID4725,0.05,20,20,0,0,0
AID4726,0.05,20,20,0,0,0
AID4714,0.05,20,20,0,0,0
AID4774,0.05,20,20,0,0,0
AID4855,0.05,20,20,0,0,0
AID4857,0.05,20,20,0,0,0
AID4858,0.05,20,20,0,0,0
AID4875,0.05,20,20,0,0,0
AID102657,0.05,20,20,0,0,0
AID103304,0.05,20,20,0,0,0
AID4988,0.05,20,20,0,0,0
AID4989,0.05,20,20,0,0,0
AID5042,0.05,20,20,0,0,0
AID5062,0.05,20,20,0,0,0
AID5193,0.05,20,20,0,0,0
AID5194,0.05,20,20,0,0,0
AID5707,0.05,20,20,0,0,0
AID5413,0.05,20,20,0,0,0
AID5853,0.05,20,20,0,0,0
AID6696,0.05,20,20,0,0,0
AID6349,0.05,20,20,0,0,0
AID6850,0.05,20,20,0,0,0
AID6856,0.05,20,20,0,0,0
AID6849,0.05,20,20,0,0,0
AID6855,0.05,20,20,0,0,0
AID6843,0.05,20,20,0,0,0
AID6858,0.05,20,20,0,0,0
AID6859,0.05,20,20,0,0,0
AID6864,0.05,20,20,0,0,0
AID6968,0.05,20,20,0,0,0
AID6973,0.05,20,20,0,0,0
AID6975,0.05,20,20,0,0,0
AID6976,0.05,20,20,0,0,0
AID6964,0.05,20,20,0,0,0
GNRC-RI-62-2028-Gas CC-1,0.05,20,20,0,0,0
SVU000114,0.05,20,20,0,0,0
SVU000119,0.05,20,20,0,0,0
SVU000124,0.05,20,20,0,0,0
SVU000284,0.05,20,20,0,0,0
SVU000289,0.05,20,20,0,0,0
SVU000294,0.05,20,20,0,0,0
SVU000299,0.05,20,20,0,0,0
SVU000304,0.05,20,20,0,0,0
SVU000339,0.05,20,20,0,0,0
SVU000344,0.05,20,20,0,0,0
SVU000354,0.05,20,20,0,0,0
SVU000484,0.05,20,20,0,0,0
SVU000754,0.05,20,20,0,0,0
SVU000864,0.05,20,20,0,0,0
