Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID101237,1,1,1,1,347.5,-1,50,65400,328.6524429,3.455781792,7177.03,NG_Algonquin,250,20,1.415,13,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID101231,1,1,1,1,108,-1,50,65400,328.6524429,3.455781792,7177.03,NG_Algonquin,250,20,1.415,13,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID12448,4,1,1,1,335.5500005,-1,20,65400,504.533199,3.460417953,9820.69,NG_Iroquois Z2,250,20,3.36,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID15604,10,1,1,1,622.5,-1,50,65400,644.1212706,3.460417953,8712.45,NG_Tenn Z6,250,20,3.43589,16,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID15844,2,1,1,1,261.2999942,-1,50,65400,322.9006049,3.460417953,9000,NG_Algonquin,250,20,2.93286,11,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2306,12,1,1,1,240.9499969,-1,50,65400,243.8578021,2.04779138,8122.75,NG_Algonquin,250,20,3.12312,10,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2307,12,1,1,1,241,-1,50,65400,275.8109111,2.107943699,8658.45,NG_Tenn Z6,250,20,2.9946,10,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2308,12,1,1,1,264.2999942,-1,50,65400,275.8109111,2.107943699,8658.45,NG_Tenn Z6,250,20,2.9946,11,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2305,12,1,1,1,108,-1,50,65400,243.8578021,2.04779138,8122.75,NG_Algonquin,250,20,3.12312,10,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID18,4,1,1,1,737.5,-1,20,65400,610.4850102,2.066293197,9846.71,NG_Iroquois Z2,250,20,3.36,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID2207,11,1,1,1,300,-1,50,65400,275.8109111,2.107943699,7780.89,NG_Tenn Z6,250,20,2.91726,17,4,0.64,0.64,0.468,0.25,0.5,0,0,NewHampshire,1
AID2498,12,1,1,1,107.8458341,-1,50,65400,433.8986582,1.392957686,8994.99,NG_Algonquin,250,20,3.5801,14,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2428,9,1,1,1,487,-1,50,65400,560.0322256,2.767402848,23266.9,NG_Algonquin,250,20,2.814,11,4,0.64,0.64,0.468,0.25,0.5,0,0,MassSE,1
AID2626,4,1,1,1,123.2741642,-1,50,65400,314.4934136,2.170419453,7474.17,NG_Iroquois Z2,250,20,2.92715,14,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID2654,5,1,1,1,237.8000031,-1,50,65400,193.4039468,3.581889662,20312,NG_Dracut,250,0,2.903,2,2,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID2507,10,1,1,1,169.8000031,-1,50,65400,292.6285059,2.170419453,7998.15,NG_Tenn Z6,250,20,2.97717,11,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID3190,9,1,1,1,762.5,-1,50,65400,368.3092888,2.430729738,8379.42,NG_Algonquin,250,20,3.35622,15,4,0.64,0.64,0.468,0.25,0.5,0,0,MassSE,1
AID3486,9,1,1,1,100.6499983,-1,50,65400,250.5850542,2.092910973,9000,NG_Algonquin,250,20,2.93605,18,4,0.64,0.64,0.468,0.25,0.5,0,0,MassSE,1
AID2879,10,1,1,1,217.4000003,-1,29.8,65400,474.2621707,2.249095003,21594.9,NG_Tenn Z6,250,20,3.36,20,8,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID4276,1,1,1,1,263.5999997,-1,50,65400,289.2664859,2.079023903,9000,NG_Algonquin,250,20,2.81977,14,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID4436,2,1,1,1,268.9999936,-1,50,65400,343.0823612,2.308101666,7808.58,NG_Algonquin,250,20,3.03282,17,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID4437,2,1,1,1,262.3999939,-1,50,65400,343.0823612,2.308101666,7808.58,NG_Algonquin,250,20,3.03282,16,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID4438,2,1,1,1,150,-1,50,65400,343.0823612,2.308101666,7808.58,NG_Algonquin,250,20,3.03282,16,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID4724,12,1,1,1,150,-1,50,65400,361.5820367,2.445773172,8420.95,NG_Algonquin,250,20,3.31731,6,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID4725,12,1,1,1,150,-1,50,65400,361.5820367,2.445773172,8420.95,NG_Algonquin,250,20,3.31731,6,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID4726,12,1,1,1,515,-1,50,65400,361.5820367,2.445773172,8420.95,NG_Algonquin,250,20,3.31731,6,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID4714,5,1,1,1,255.1200015,-1,50,65400,427.1714061,2.383297418,8089.74,NG_Dracut,250,20,2.99297,13,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID4774,10,1,1,1,158.9000003,-1,50,65400,304.4009294,1.056287789,9210.47,NG_Tenn Z6,250,20,3.6323,12,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID4855,12,1,1,1,267.6999995,-1,50,65400,332.9920184,2.399497215,8669.49,NG_Algonquin,250,20,3.41896,16,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID4857,4,1,1,1,270.3500061,-1,60,65400,201.8122089,4.527109802,7440.09,NG_Iroquois Z2,250,20,2.89212,18,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID4858,4,1,1,1,359.3999939,-1,60,65400,201.8122089,4.527109802,7440.09,NG_Iroquois Z2,250,20,2.96142,18,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID4875,10,1,1,1,786,-1,50,65400,343.0823612,2.308101666,7643.5,NG_Tenn Z6,250,20,2.95351,18,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID102657,2,1,1,1,450,-1,47.1,65400,328.6524429,3.455781792,9000,NG_Algonquin,250,20,1.412,14,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID103304,4,1,1,1,772.5999756,-1,40,65400,328.6524429,3.455781792,6826.65,NG_Iroquois Z2,250,15,2.814,10,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnSW,1
AID4988,1,1,1,1,777.75,-1,50,65400,190.0397854,4.527109802,9000,NG_ISNE_LNG,250,20,3.04319,48,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID4989,1,1,1,1,352.4499995,-1,50,65400,190.0397854,4.527109802,9000,NG_ISNE_LNG,250,20,3.04319,48,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID5042,1,1,1,1,543,-1,20,65400,464.1696865,2.097536427,9742.65,NG_Tenn Z6,250,20,8.763,20,8,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID5062,11,1,1,1,228.75,-1,50,65400,243.8578021,1.956385123,9000,NG_Dracut,250,20,2.99318,10,4,0.64,0.64,0.468,0.25,0.5,0,0,NewHampshire,1
AID5193,12,1,1,1,228.75,-1,50,65400,973.7491276,3.732291875,9103.42,NG_Tenn Z6,250,20,3.59008,14,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID5194,12,1,1,1,558,-1,50,65400,1000.657065,3.792454901,9164.6,NG_Tenn Z6,250,20,3.61421,7,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID5707,12,1,1,1,169.7458356,-1,50,65400,275.8109111,2.155386726,9000,NG_Tenn Z6,250,20,2.95943,8,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID5413,10,1,1,1,256.9899966,-1,50,65400,497.8070176,2.812522441,9891.06,NG_Tenn Z6,250,20,4.11311,13,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID5853,6,1,1,1,528.8241653,-1,47,65400,403.6276299,2.354377622,9000,NG_Dracut,250,20,2.98036,14,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineCentral,1
