Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID107192,9,1,1,1,804,-1,0,97200,1894.844126,0,0,0,0,0,MassSE,1
AID107200,9,1,1,1,1232,-1,0,97200,1894.844126,0,0,0,0,0,MassSE,1
AID107201,9,1,1,1,133.3333333,-1,0,97200,1894.844126,0,0,0,0,0,MassSE,1
AID107205,9,1,1,1,66.66666667,-1,0,97200,1894.844126,0,0,0,0,0,MassSE,1
AID107206,9,1,1,1,0,-1,0,97200,1894.844126,0,0,0,0,0,MassSE,1
GNRC-MA-63-2020-Solar Utility-1,9,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassSE,1
GNRC-MA-71-2020-Solar Utility-1,1,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,Boston,1
GNRC-MA-72-2020-Solar Utility-1,8,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassCentral,1
GNRC-CT-61-2020-Solar Utility-1,2,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnCentral,1
GNRC-CT-67-2020-Solar Utility-1,3,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnNorwalk,1
GNRC-CT-68-2020-Solar Utility-1,4,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnSW,1
GNRC-NH-74-2020-Solar Utility-1-PTC,11,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,NewHampshire,1
GNRC-RI-62-2020-Solar Utility-1-PTC,12,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,RhodeIsland,1
GNRC-VT-75-2020-Solar Utility-1-PTC,13,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,Vermont,1
GNRC-MA-73-2020-Solar Utility-1-PTC,10,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassWest,1
GNRC-CT-61-2020-Solar Utility-1-PTC,2,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnCentral,1
